"cpv_puhas";"eeldatav_maksumus_puhas";"lepingu_maksumus_puhas";"tegelik_maksumus_puhas";"kestvus_kuudes"
"73300000-5";NA;23750;23750;8
"73200000-4";20000;20000;20000;5
"72262000-9";NA;83340;NA;36
"72221000-0";NA;10666.67;10666.67;6
"43325000-7";19700;15441;15441;1
"79212000-3";NA;13000;NA;24
"72200000-7";1e+06;1e+06;554220;23
"45222000-9";NA;429777;429777;6
"71521000-6";NA;69600;NA;42
"48218000-9";NA;NA;NA;24
NA;NA;NA;NA;NA
"79212000-3";NA;71700;71700;2
"71520000-9";NA;26400;26400;37
"63516000-9";NA;NA;NA;24
"45200000-9";128000;126680;126680;6
"80400000-8";37500;39988;36744;9
"44110000-4";NA;8333.33;8842.51;24
"79311200-9";NA;35700;35700;1
"73220000-0";NA;20650;14400;3
"72222300-0";NA;38118;NA;6
"72260000-5";79400;66000;NA;48
"72266000-7";NA;NA;NA;3
"72262000-9";1e+05;1e+05;NA;36
"45211100-0";4950000;4890509.17;4890509.17;18
"34115200-8";NA;87600;87600;8
"90713000-8";33333;27900;27900;12
"80330000-6";NA;NA;NA;10
"39121000-6";NA;NA;NA;12
"30213300-8";50000;60000;67750.8;12
"71248000-8";15000;3920;3920;4
NA;NA;NA;NA;NA
"79311200-9";NA;NA;NA;1
"71521000-6";20000;7590;7590;12
"79311200-9";NA;29900;29900;8
"72316000-3";NA;25266;25266;3
"45443000-4";40000;38393.46;38393.46;2
"45215215-7";1180883;1088210;1088210;10
"79212000-3";NA;5780;5780;11
"63500000-4";NA;5065000;NA;36
"75112100-5";66353.4;66353.4;53082.72;19
"79710000-4";NA;156830.25;156830.25;40
"72262000-9";NA;21546;21546;4
"03100000-2";NA;NA;NA;1
NA;NA;NA;NA;NA
"72262000-9";1e+05;80784;80784;12
"79100000-5";NA;11792;11792;7
"34110000-1";NA;299078.28;NA;60
"72261000-2";NA;19414.65;19414.65;2
NA;NA;NA;NA;NA
"79310000-0";20000;20000;20000;3
"71620000-0";NA;25200;25200;3
"85147000-1";NA;137645;NA;36
"71620000-0";NA;22495;22495;3
"31141000-6";NA;11011.2;11011.2;1
"71220000-6";NA;129999.99;129999;6
"72262000-9";NA;20000;19956.25;12
"90711300-7";NA;27900;27900;5
"48900000-7";NA;65160;65160;12
NA;NA;NA;NA;NA
NA;NA;NA;NA;NA
"48517000-5";NA;25000;25000;0
"38112100-4";NA;249358;249358;10
"72250000-2";NA;80000;NA;48
"64210000-1";NA;43287595.2;NA;48
"34111100-9";NA;79077.94;NA;60
"45232140-5";NA;40901.35;40311.54;2
"45232141-2";NA;238981.97;238103.2;4
NA;NA;NA;NA;NA
"45232220-0";NA;249632.18;253513.89;2
"71240000-2";NA;14914.59;15300.83;2
"92400000-5";16000;13200;10900;12
"72250000-2";340000;339960;339960;24
"79822500-7";4100;7943.3;8230.09;24
"79821100-6";8333;5644;NA;24
"79823000-9";3080;3600;3782.55;0
"45110000-1";NA;98640;98640;3
"79212000-3";NA;9600;9600;1
"70330000-3";NA;50655;NA;110
"45211100-0";4500000;NA;NA;18
"72200000-7";NA;34758.6;34758.6;12
"45233120-6";2500000;2819332.56;2819332.56;14
"45210000-2";NA;148000;167959.14;2
"79212000-3";12000;7980;7980;19
"45233222-1";120000;111231.24;111230.4;3
NA;NA;NA;NA;NA
"79822500-7";NA;35000;4482.28;18
"73210000-7";NA;14578;12497.99;24
"34223300-9";NA;3e+05;3e+05;8
"79341000-6";NA;16622;16621.81;3
"30200000-1";NA;104465;104465;3
"32420000-3";NA;345022.09;345022.09;3
"31120000-3";NA;95580;95580;6
"72262000-9";33600;33600;33600;2
"72250000-2";NA;NA;NA;48
"71241000-9";15800;15600;15600;6
"39100000-3";NA;23731.95;23731.95;2
NA;NA;NA;NA;NA
"32428000-9";NA;340030;340030;2
"73220000-0";NA;NA;NA;2
"73112000-0";NA;32000;32000;22
"64210000-1";720000;245892.1;1944187;24
"72260000-5";NA;99200;99200;5
"79800000-2";NA;4855;4855;0
"41110000-3";NA;2311.2;3108.35;36
"34111200-0";NA;NA;NA;48
NA;NA;NA;NA;NA
"34110000-1";1e+06;543969.3;NA;48
"72262000-9";83333;83333.33;83000;36
NA;NA;NA;NA;NA
"45211100-0";NA;NA;NA;18
"35112000-2";NA;386910;386910;6
"73210000-7";NA;NA;NA;24
"72261000-2";NA;62225;NA;48
"72222300-0";NA;305964;288870;36
"85147000-1";NA;NA;NA;36
"79710000-4";170000;156788;NA;38
"85130000-9";NA;NA;NA;36
"48710000-8";NA;15664;15664;1
"34111100-9";NA;NA;NA;48
"79212000-3";NA;3780;3780;12
"48311100-2";NA;35019;35019;1
NA;NA;NA;NA;NA
"79300000-7";48000;NA;NA;48
"72261000-2";NA;14613.03;14613.03;1
"73110000-6";NA;20550;20550;11
"66133000-1";NA;8086046;NA;60
"33141000-0";NA;25242.2;24402.91;3
NA;NA;NA;NA;NA
"73200000-4";NA;NA;NA;5
"33651300-1";NA;105945.92;105945.92;7
NA;NA;NA;NA;NA
"72222000-7";NA;25600;25600;5
NA;NA;NA;NA;NA
NA;NA;NA;NA;NA
"35125300-2";NA;11569;11569;1
"79315000-5";NA;28200;28200;5
"90510000-5";NA;428742.9;393065.54;7
"79311200-9";14583.33;10805;10805;4
"72250000-2";NA;39999;39999;3
"72211000-7";NA;15700;15700;6
"60100000-9";38000;38000;26920.52;24
NA;NA;NA;NA;NA
NA;NA;NA;NA;NA
"73110000-6";NA;19800;19800;5
"80430000-7";NA;42607.5;42607.5;8
"79212500-8";NA;62940;62940;21
"75112100-5";NA;266666.66;266666.66;9
"32581000-9";NA;118634.06;118634.06;12
"72222300-0";20000;16500;16500;6
"72261000-2";NA;NA;NA;12
"85147000-1";NA;40000;39402.81;24
"34110000-1";NA;62223.06;NA;60
"73110000-6";16600;15900;15900;8
"72262000-9";75000;75000;125870;36
"48120000-5";NA;594500;594500;15
"34111200-0";NA;227919.31;NA;60
"71240000-2";NA;24400;24400;8
"73200000-4";NA;NA;NA;8
"79341000-6";NA;1e+05;1e+05;13
"71240000-2";NA;21700;21700;4
"55100000-1";30000;30000;60204.63;12
"72253200-5";NA;24396;31763.5;12
NA;NA;NA;NA;NA
"79823000-9";110000;130000;NA;48
NA;NA;NA;NA;NA
"75112000-4";NA;50000;50000;10
"72262000-9";40000;39420;37440;24
"72260000-5";40000;40000;40000;24
"72262000-9";NA;26280;26280;7
"79710000-4";130000;NA;NA;40
"72222300-0";18000;12258;12258;12
"73210000-7";NA;61660;49160;25
"79530000-8";NA;7400;7544.75;2
"55520000-1";60000;20000;34529.11;36
"79140000-7";NA;49958;72573.18;36
"72227000-2";NA;33600;21000.1;36
"72262000-9";NA;32610;20970;8
NA;NA;NA;NA;NA
"79311200-9";NA;NA;NA;6
"72260000-5";NA;29100;24250;36
"73100000-3";NA;29800;29562.4;9
"85111500-5";NA;1722654;1722654;12
"72222300-0";20000;NA;NA;12
"79530000-8";NA;NA;NA;6
"92622000-7";NA;65000;65000;10
"73210000-7";NA;39950;39950;11
NA;NA;NA;NA;NA
"79200000-6";39583;17400;8700;18
"72262000-9";NA;NA;NA;8
"34144710-8";NA;1518835;1518835;12
"45200000-9";NA;4414190;4172324.2;14
"72320000-4";NA;11280;11280;24
NA;NA;NA;NA;NA
"45220000-5";NA;10517974;10448454.78;15
"72260000-5";NA;NA;NA;36
"79212000-3";NA;23248.8;23248.8;5
"73110000-6";NA;35952.4;35952.4;6
"80500000-9";25000;24500;24500;11
"79315000-5";NA;16873.6;16873.6;4
"72262000-9";NA;NA;NA;2
"60172000-4";NA;16666;14272.1;24
NA;NA;NA;NA;NA
"33651400-2";NA;16445.1;16445.1;5
"79311300-0";33333;33300;33300;9
"80500000-9";10500;6876;6875.56;3
"79421000-1";18333;14850;14850;30
"72267000-4";NA;242530.46;242531.09;36
NA;NA;NA;NA;NA
"45210000-2";NA;69016.75;69016.75;2
"90911000-6";NA;12160.27;12160.27;24
"79530000-8";NA;30000;7600.74;36
"80500000-9";14333;14330.01;12861.41;11
"33651520-9";NA;NA;NA;1
"45316000-5";30000;24942.56;24942.56;1
"34115300-9";NA;28737.89;28737.89;36
"66510000-8";78000;51369;53482.18;12
"79711000-1";NA;140064;NA;49
"48710000-8";NA;35489;35489;1
"39515430-8";15000;10862;10862;2
"79311400-1";NA;NA;NA;10
"71240000-2";NA;48648.6;48648.6;6
"33651300-1";NA;17869.7;17869.7;11
NA;NA;NA;NA;NA
"72200000-7";NA;34000;26110;24
"72200000-7";NA;19000;7686.25;24
"34110000-1";NA;NA;NA;48
"39515430-8";30000;NA;NA;2
"72262000-9";NA;18018;18018;2
"22200000-2";NA;11187;11187;12
"71320000-7";50000;37850;37850;6
"73210000-7";NA;NA;NA;29
"72262000-9";12800;12800;12800;4
"18510000-7";NA;17428.1;17466.1;12
"30213100-6";NA;7150;7150;0
"60120000-5";82560;82560;98942.14;24
NA;NA;NA;NA;NA
"34111200-0";NA;NA;NA;48
"73110000-6";16667;14331.2;14323.8;9
"80500000-9";37800;31705;30871.25;11
"30197630-1";54000;54000;43338.67;24
"45210000-2";268000;296754;296754;6
"72222300-0";NA;31180;31180;6
"71250000-5";NA;30915;30915;6
"30236000-2";NA;209445;209445;6
"72262000-9";185000;185000;176371.25;36
"73200000-4";NA;28789;28789;12
NA;NA;NA;NA;NA
"48326000-9";NA;36300;36300;12
"32550000-3";NA;42294;35245;4
"35125300-2";NA;NA;NA;1
NA;NA;NA;NA;NA
"30213100-6";NA;NA;NA;0
"41110000-3";95000;79081.96;74217.93;24
"72212440-5";NA;22566;16716;36
"80500000-9";NA;18000;18000;10
"72411000-4";NA;NA;NA;36
"72250000-2";65000;64980;64980;12
"72261000-2";NA;11470;11470;36
"80500000-9";10500;NA;NA;3
NA;NA;NA;NA;NA
